date,country,count,country_cpi
2018-01-15,AUSTRALIA,9452,106.0777
2018-02-15,AUSTRALIA,5693,106.5287
2018-03-15,AUSTRALIA,8932,106.6636
2018-04-15,AUSTRALIA,14023,106.9827
2018-05-15,AUSTRALIA,4873,107.3381
2018-06-15,AUSTRALIA,9997,107.6924
2018-07-15,AUSTRALIA,8801,108.2045
2018-08-15,AUSTRALIA,8239,108.5435
2018-09-15,AUSTRALIA,8746,109.0664
2018-10-15,AUSTRALIA,6912,109.4815
2018-11-15,AUSTRALIA,10299,109.2748
2018-12-15,AUSTRALIA,14961,109.2513
2019-01-15,AUSTRALIA,10368,109.5387
2019-02-15,AUSTRALIA,8810,110.0302
2019-03-15,AUSTRALIA,11441,110.5453
2019-04-15,AUSTRALIA,9565,111.172
2019-05-15,AUSTRALIA,2485,111.4713
2019-06-15,AUSTRALIA,4410,111.6176
2019-07-15,AUSTRALIA,5619,111.9011
2019-08-15,AUSTRALIA,5985,112.2039
2019-09-15,AUSTRALIA,6895,112.6144
2019-10-15,AUSTRALIA,5562,113.1525
2019-11-15,AUSTRALIA,7067,113.4213
2019-12-15,AUSTRALIA,14467,113.7289
2020-01-15,AUSTRALIA,8115,114.0806
2020-02-15,AUSTRALIA,9578,114.3857
2020-03-15,AUSTRALIA,2590,114.1847
2020-04-15,AUSTRALIA,0,113.9509
2020-05-15,AUSTRALIA,0,113.895
2020-06-15,AUSTRALIA,0,114.3107
2020-07-15,AUSTRALIA,0,114.7168
2020-08-15,AUSTRALIA,0,115.1423
2020-09-15,AUSTRALIA,0,115.413
2020-10-15,AUSTRALIA,0,115.7559
2020-11-15,AUSTRALIA,0,115.7759
2020-12-15,AUSTRALIA,0,116.1008
2021-01-15,AUSTRALIA,3,116.6333
2021-02-15,AUSTRALIA,24,117.2311
2021-03-15,AUSTRALIA,29,117.7972
2021-04-15,AUSTRALIA,60,118.3177
2021-05-15,AUSTRALIA,34,118.857
2021-06-15,AUSTRALIA,13,119.4144
2021-07-15,AUSTRALIA,15,119.9535
2021-08-15,AUSTRALIA,26,120.2898
2021-09-15,AUSTRALIA,27,120.7384
2021-10-15,AUSTRALIA,121,121.804
2021-11-15,AUSTRALIA,940,122.5507
2021-12-15,AUSTRALIA,3129,123.2352
2022-01-15,AUSTRALIA,2814,124.1983
2022-02-15,AUSTRALIA,1688,125.2049
2022-03-15,AUSTRALIA,2359,127.1038
2022-04-15,AUSTRALIA,3508,128.3963
2022-05-15,AUSTRALIA,1660,129.3823
2022-06-15,AUSTRALIA,2511,130.4595
2022-07-15,AUSTRALIA,1974,131.0148
2022-08-15,AUSTRALIA,1898,131.3629
2022-09-15,AUSTRALIA,2309,132.2385
2022-10-15,AUSTRALIA,2106,133.3301
2022-11-15,AUSTRALIA,2939,133.6043
2022-12-15,AUSTRALIA,5158,133.6043
2018-01-15,CANADA,5682,104.0558
2018-02-15,CANADA,3999,104.6879
2018-03-15,CANADA,5113,105.004
2018-04-15,CANADA,4972,105.32
2018-05-15,CANADA,3297,105.399
2018-06-15,CANADA,4676,105.557
2018-07-15,CANADA,6017,106.1101
2018-08-15,CANADA,5440,106.0311
2018-09-15,CANADA,2903,105.636
2018-10-15,CANADA,2406,105.9521
2018-11-15,CANADA,3496,105.478
2018-12-15,CANADA,4680,105.399
2019-01-15,CANADA,5840,105.557
2019-02-15,CANADA,6469,106.2681
2019-03-15,CANADA,6011,106.9792
2019-04-15,CANADA,3741,107.4533
2019-05-15,CANADA,1575,107.9273
2019-06-15,CANADA,2827,107.6903
2019-07-15,CANADA,3826,108.2433
2019-08-15,CANADA,4052,108.0853
2019-09-15,CANADA,2438,107.6113
2019-10-15,CANADA,2385,107.9273
2019-11-15,CANADA,3053,107.7693
2019-12-15,CANADA,6512,107.7693
2020-01-15,CANADA,5510,108.0853
2020-02-15,CANADA,5482,108.5594
2020-03-15,CANADA,1444,107.9273
2020-04-15,CANADA,0,107.2162
2020-05-15,CANADA,0,107.5323
2020-06-15,CANADA,0,108.4014
2020-07-15,CANADA,0,108.4014
2020-08-15,CANADA,0,108.2433
2020-09-15,CANADA,0,108.1643
2020-10-15,CANADA,0,108.6384
2020-11-15,CANADA,0,108.7964
2020-12-15,CANADA,0,108.5594
2021-01-15,CANADA,17,109.1915
2021-02-15,CANADA,71,109.7445
2021-03-15,CANADA,120,110.2976
2021-04-15,CANADA,144,110.8507
2021-05-15,CANADA,69,111.4037
2021-06-15,CANADA,67,111.7198
2021-07-15,CANADA,178,112.4309
2021-08-15,CANADA,594,112.6679
2021-09-15,CANADA,265,112.9049
2021-10-15,CANADA,688,113.695
2021-11-15,CANADA,1161,113.9321
2021-12-15,CANADA,1705,113.774
2022-01-15,CANADA,1666,114.8012
2022-02-15,CANADA,1958,115.9863
2022-03-15,CANADA,2989,117.6455
2022-04-15,CANADA,2083,118.3566
2022-05-15,CANADA,2013,120.0158
2022-06-15,CANADA,2308,120.8059
2022-07-15,CANADA,3458,120.9639
2022-08-15,CANADA,2581,120.5689
2022-09-15,CANADA,1552,120.6479
2022-10-15,CANADA,1625,121.517
2022-11-15,CANADA,1994,121.675
2022-12-15,CANADA,2618,121.675
2018-01-15,CHINA,24275,105.2
2018-02-15,CHINA,35929,106.5
2018-03-15,CHINA,21101,105.3
2018-04-15,CHINA,17462,105.1
2018-05-15,CHINA,17103,104.9
2018-06-15,CHINA,20424,104.9
2018-07-15,CHINA,27460,105.2
2018-08-15,CHINA,26558,105.9
2018-09-15,CHINA,19600,106.6
2018-10-15,CHINA,18882,106.8
2018-11-15,CHINA,18888,106.4
2018-12-15,CHINA,18283,106.5
2019-01-15,CHINA,26414,107.0
2019-02-15,CHINA,28039,108.1
2019-03-15,CHINA,23759,107.7
2019-04-15,CHINA,14263,107.8
2019-05-15,CHINA,1589,107.8
2019-06-15,CHINA,3496,107.7
2019-07-15,CHINA,6926,108.1
2019-08-15,CHINA,9503,108.9
2019-09-15,CHINA,9231,109.8
2019-10-15,CHINA,11683,110.8
2019-11-15,CHINA,16312,111.2
2019-12-15,CHINA,16648,111.2
2020-01-15,CHINA,22363,112.8
2020-02-15,CHINA,2096,113.7
2020-03-15,CHINA,1688,112.3
2020-04-15,CHINA,0,111.3
2020-05-15,CHINA,0,110.4
2020-06-15,CHINA,0,110.4
2020-07-15,CHINA,0,110.0
2020-08-15,CHINA,0,111.5
2020-09-15,CHINA,0,111.7
2020-10-15,CHINA,0,111.4
2020-11-15,CHINA,0,110.7
2020-12-15,CHINA,0,111.5
2021-01-15,CHINA,27,112.55
2021-02-15,CHINA,117,113.2193
2021-03-15,CHINA,223,112.6615
2021-04-15,CHINA,475,112.3269
2021-05-15,CHINA,237,112.2154
2021-06-15,CHINA,176,111.7692
2021-07-15,CHINA,167,112.1038
2021-08-15,CHINA,178,112.2154
2021-09-15,CHINA,176,112.2154
2021-10-15,CHINA,182,112.9962
2021-11-15,CHINA,201,113.4424
2021-12-15,CHINA,258,113.1077
2022-01-15,CHINA,226,113.6655
2022-02-15,CHINA,266,114.3347
2022-03-15,CHINA,358,114.3347
2022-04-15,CHINA,261,114.7809
2022-05-15,CHINA,242,114.5578
2022-06-15,CHINA,231,114.5578
2022-07-15,CHINA,266,115.1156
2022-08-15,CHINA,534,115.004
2022-09-15,CHINA,637,115.3387
2022-10-15,CHINA,468,115.4502
2022-11-15,CHINA,591,115.2271
2022-12-15,CHINA,635,115.1156
2018-01-15,FRANCE,12221,101.75
2018-02-15,FRANCE,16871,101.72
2018-03-15,FRANCE,14818,102.75
2018-04-15,FRANCE,7411,102.92
2018-05-15,FRANCE,3721,103.36
2018-06-15,FRANCE,3688,103.37
2018-07-15,FRANCE,11303,103.28
2018-08-15,FRANCE,11016,103.78
2018-09-15,FRANCE,4316,103.56
2018-10-15,FRANCE,4784,103.67
2018-11-15,FRANCE,6825,103.45
2018-12-15,FRANCE,9475,103.47
2019-01-15,FRANCE,11892,103.01
2019-02-15,FRANCE,17295,103.06
2019-03-15,FRANCE,13957,103.89
2019-04-15,FRANCE,9148,104.22
2019-05-15,FRANCE,1120,104.33
2019-06-15,FRANCE,1989,104.58
2019-07-15,FRANCE,7142,104.38
2019-08-15,FRANCE,7087,104.86
2019-09-15,FRANCE,2929,104.5
2019-10-15,FRANCE,3383,104.46
2019-11-15,FRANCE,4857,104.52
2019-12-15,FRANCE,6824,104.98
2020-01-15,FRANCE,9352,104.54
2020-02-15,FRANCE,11430,104.53
2020-03-15,FRANCE,4056,104.59
2020-04-15,FRANCE,0,104.56
2020-05-15,FRANCE,0,104.71
2020-06-15,FRANCE,0,104.79
2020-07-15,FRANCE,0,105.19
2020-08-15,FRANCE,0,105.09
2020-09-15,FRANCE,0,104.55
2020-10-15,FRANCE,0,104.51
2020-11-15,FRANCE,0,104.73
